Type,Energimærke,Ejerudgift,Boligydelse,Anvendelse,Boligtype,Enhedsareal,Beboelsesareal,Værelser,Antal toiletter,Badeforhold,Antal badeværelser,Køkkenforhold,Energikode,Toiletforhold,Bygningsnummer,Ydervæg,Anvendelse,Tag,Etager,Carport,Seneste ombygning,Udhus,Boligstørrelse (BBR),Objekt status,"Boligstørrelse, tinglyst:",Afvigende etager,Boligstørrelse,Boligenhed med eget køkken,Varmeinstallation,Boligenhed uden eget køkken,Matrikelnummer,Kommunal ejerlav navn,Grundstørrelse,Lands ejerlav kode,Vejareal,Lands ejerlav navn,Primær matrikel,Ejendomsnummer,Kommunal ejerlav kode
Villa,E,1069,,"Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",Egentlig beboelseslejlighed (boligenhed med eget køkken),91,91,4,1,Badeværelse i enheden,1,Eget køkken med afløb,-,Vandskyllende toilet i enheden,1,Betonelementer,Tagpap med lille hældning,1,0,0,0,91,Bygning - stamdata,0,Bygningen har ikke afvigende etager,91,1,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),0,7hm,"TARM BY, EGVAD",301,1200253,0,"TARM BY, EGVAD",J,252,-
Villa,E,1348,,Fritliggende enfamiliehus,Egentlig beboelseslejlighed (boligenhed med eget køkken),114,114,4,1,Badeværelse i enheden,1,Eget køkken med afløb,-,Vandskyllende toilet i enheden,1,Mursten,Fibercement herunder asbest,1,0,1973,0,86,Bygning - stamdata,0,Bygningen har ikke afvigende etager,86,1,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),0,9cu,"ESKILSTRUP BY, E",531,510251,0,"ESKILSTRUP BY, ESKILSTRUP",J,16267,-
Villa,G,1372,,Fritliggende enfamiliehus,Egentlig beboelseslejlighed (boligenhed med eget køkken),73,73,3,1,Badeværelse i enheden,1,Eget køkken med afløb,-,Vandskyllende toilet i enheden,1,Bindingsværk,Stråtag,1,0,0,0,73,Bygning - stamdata,0,Bygningen har ikke afvigende etager,73,1,"Centralvarme fra eget anlæg, et-kammer fyr",0,47b,"TÅRUP BY, FRØRUP",897,410755,0,"TÅRUP BY, FRØRUP",J,12318,-
Andelsbolig,B,,6099,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Egentlig beboelseslejlighed (boligenhed med eget køkken),102,102,4,1,Badeværelse i enheden,1,Eget køkken med afløb,400 V el fra værk,Vandskyllende toilet i enheden,1,Mursten,Tagpap med lille hældning,2,0,0,0,204,Bygning - stamdata,0,Bygningen har ikke afvigende etager,102,2,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),0,8fq,"LUNDAGER BY, GAM",637,390556,0,"LUNDAGER BY, GAMTOFTE",J,5635,-
Fritidshus,-,1155,,Sommerhus.,Sommer-/fritidsbolig,108,108,7,0,Hverken badeværelse eller adgang til badeværelse,0,Eget køkken med afløb,-,Intet vandskyllende toilet,1,Mursten,Tegl,1,0,0,0,108,Bygning - stamdata,0,Bygningen har ikke afvigende etager,108,0,"Ovne (kakkelovne, kamin, brændeovne o.l.)",0,50d,RUTSKER,3810,1400451,0,RUTSKER,J,67279,-
Villa,G,1908,,Fritliggende enfamiliehus,Egentlig beboelseslejlighed (boligenhed med eget køkken),82,82,3,1,Badeværelse i enheden,1,Eget køkken med afløb,-,Vandskyllende toilet i enheden,1,Bindingsværk,Stråtag,1,0,2001,0,82,Bygning - stamdata,0,Bygningen har ikke afvigende etager,82,1,"Ovne (kakkelovne, kamin, brændeovne o.l.)",0,109,"BOGØ BY, BOGØ",784,320151,0,"BOGØ BY, BOGØ",J,5067,-
Villa,C,1133,,Fritliggende enfamiliehus,Egentlig beboelseslejlighed (boligenhed med eget køkken),108,108,4,1,Badeværelse i enheden,1,Eget køkken med afløb,-,Vandskyllende toilet i enheden,1,Mursten,Fibercement herunder asbest,1,0,0,0,83,Bygning - stamdata,0,Bygningen har ikke afvigende etager,83,1,Varmepumpe,0,53y,"DEN SYDLIGE DEL,",719,570654,0,"DEN SYDLIGE DEL, JETSMARK",J,80421,-
Villa,G,1131,,Fritliggende enfamiliehus,Egentlig beboelseslejlighed (boligenhed med eget køkken),98,98,4,1,Badeværelse i enheden,1,Eget køkken med afløb,-,Vandskyllende toilet i enheden,1,Andet materiale,Fibercement herunder asbest,1,0,1953,0,73,Bygning - stamdata,0,Bygningen har ikke afvigende etager,73,1,"Centralvarme fra eget anlæg, et-kammer fyr",0,32,"GRØNFELD BY, AGR",410,960154,0,"GRØNFELD BY, AGRI",J,748,-
Andelsbolig,E,,2219,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Egentlig beboelseslejlighed (boligenhed med eget køkken),72,72,2,1,Badeværelse i enheden,1,Eget køkken med afløb,-,Vandskyllende toilet i enheden,3,Mursten,Tegl,3,0,0,0,1749,Bygning - stamdata,0,Bygningen har ikke afvigende etager,583,32,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),0,4l,"STRANDBY, ESBJER",5241,2007553,0,"STRANDBY, ESBJERG JORDER",J,69344,-
Villa,G,1179,,Fritliggende enfamiliehus,Egentlig beboelseslejlighed (boligenhed med eget køkken),62,62,3,1,Hverken badeværelse eller adgang til badeværelse,0,Eget køkken med afløb,-,Vandskyllende toilet i enheden,1,Mursten,Fibercement herunder asbest,1,0,0,0,62,Bygning - stamdata,0,Bygningen har ikke afvigende etager,62,1,"Ovne (kakkelovne, kamin, brændeovne o.l.)",0,15ad,"KARLEBY BY, KARL",1007,520751,0,"KARLEBY BY, KARLEBY",J,22887,-
