('https://www.boliga.dk/bolig/1728504/pindskrog_11_5683_haarby', 'unavailable', 'unrated', 'Helårsgrund', '95628')
('https://www.boliga.dk/bolig/1728499/pindskrog_9_5683_haarby', 'unavailable', 'unrated', 'Helårsgrund', '103302')
('https://www.boliga.dk/bolig/1728503/pindskrog_7_5683_haarby', 'unavailable', 'unrated', 'Helårsgrund', '103302')
('https://www.boliga.dk/bolig/1728502/bremerholmsgyden_3_5683_haarby', 'unavailable', 'unrated', 'Helårsgrund', '120788')
('https://www.boliga.dk/bolig/1728500/bremerholmsgyden_1_5683_haarby', 'unavailable', 'unrated', 'Helårsgrund', '130872')
('https://www.boliga.dk/bolig/1728498/snerlevej_13_5560_aarup', 'unavailable', 'unrated', 'Helårsgrund', '156165')
('https://www.boliga.dk/bolig/1728784/amsterdamvej_3__st_3_2300_koebenhavn_s', 'https://www.boliga.dk/skoede', 'D', 'Ejerlejlighed', '195000')
('https://www.boliga.dk/bolig/1728501/nellemosevej_41_5683_haarby', 'unavailable', 'unrated', 'Helårsgrund', '196000')
('https://www.boliga.dk/bolig/1728694/limfjordsgade_5_7790_thyholm', 'https://www.boliga.dk/skoede', 'F', 'Villa', '198000')
('https://www.boliga.dk/bolig/1728830/moellevaenget_8b_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '215460')
('https://www.boliga.dk/bolig/1728413/stationsvej_31_1__nr_2_4760_vordingborg', 'https://www.boliga.dk/bbrinfo/c5f44258-b468-4f9a-8665-d5b77047cb1b', 'B', 'Andelsbolig', '225000')
('https://www.boliga.dk/bolig/1728548/moellevaenget_8a_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '233010')
('https://www.boliga.dk/bolig/1728828/jaegervaenget_13_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '237330')
('https://www.boliga.dk/bolig/1728555/jaegervaenget_15_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '239490')
('https://www.boliga.dk/bolig/1728670/aaroe_strandhoej_6_6100_haderslev', 'unavailable', 'unrated', 'Fritidsgrund', '240000')
('https://www.boliga.dk/bolig/1728836/jaegervaenget_7_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '293220')
('https://www.boliga.dk/bolig/1728782/snejbjerg_hovedgade_5b__st_2_7400_herning', 'https://www.boliga.dk/bbrinfo/0a62fdcc-9f2b-4e8f-97a3-c684a67424dc', 'B', 'Andelsbolig', '295000')
('https://www.boliga.dk/bolig/1728783/soendergade_32_5932_humble', 'https://www.boliga.dk/skoede', 'unrated', 'Villa', '295000')
('https://www.boliga.dk/bolig/1728553/jaegervaenget_6_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '296190')
('https://www.boliga.dk/bolig/1728549/jaegervaenget_4_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '297810')
('https://www.boliga.dk/bolig/1728839/jaegervaenget_9_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '301050')
('https://www.boliga.dk/bolig/1728554/jaegervaenget_1_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '303750')
('https://www.boliga.dk/bolig/1728835/jaegervaenget_12_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '304290')
('https://www.boliga.dk/bolig/1728833/jaegervaenget_5_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '306990')
('https://www.boliga.dk/bolig/1728829/jaegervaenget_8_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '307800')
('https://www.boliga.dk/bolig/1728556/jaegervaenget_10_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '312930')
('https://www.boliga.dk/bolig/1728832/jaegervaenget_3_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '314820')
('https://www.boliga.dk/bolig/1728838/jaegervaenget_14_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '322110')
('https://www.boliga.dk/bolig/1728552/jaegervaenget_11_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '329130')
('https://www.boliga.dk/bolig/1728834/jaegervaenget_18_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '345870')
('https://www.boliga.dk/bolig/1728789/vangsgade_14_7752_snedsted', 'https://www.boliga.dk/skoede', 'F', 'Villa', '360000')
('https://www.boliga.dk/bolig/1728410/hovedgaden_41_poulstrup_9760_vraa', 'https://www.boliga.dk/skoede', 'unrated', 'Villa', '365000')
('https://www.boliga.dk/bolig/1728840/jaegervaenget_16_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '372870')
('https://www.boliga.dk/bolig/1728837/jaegervaenget_2_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '387180')
('https://www.boliga.dk/bolig/1728450/aalborgvej_204_7742_vesloes', 'https://www.boliga.dk/skoede', 'E', 'Villa', '395000')
('https://www.boliga.dk/bolig/1728710/soender_ulstrupvej_2_9500_hobro', 'https://www.boliga.dk/skoede', 'G', 'Villa', '395000')
('https://www.boliga.dk/bolig/1728781/herningvej_11__st_th_8000_aarhus_c', 'https://www.boliga.dk/bbrinfo/8f2b032e-f3c8-4f3d-b5a4-5f0af05819f8', 'D', 'Andelsbolig', '431146')
('https://www.boliga.dk/bolig/1728652/ramsherred_77_5900_rudkoebing', 'https://www.boliga.dk/skoede', 'G', 'Villa', '435000')
('https://www.boliga.dk/bolig/1728432/mads_moellersvej_10_8860_ulstrup', 'https://www.boliga.dk/skoede', 'E', 'Villa', '450000')
('https://www.boliga.dk/bolig/1728443/stendyssevej_1_4900_nakskov', 'https://www.boliga.dk/skoede', 'D', 'Villa', '450000')
('https://www.boliga.dk/bolig/1728550/jaegervaenget_20_6740_bramming', 'unavailable', 'unrated', 'Helårsgrund', '466830')
('https://www.boliga.dk/bolig/1728700/bavnebjerg_12_8752_oestbirk', 'unavailable', 'unrated', 'Helårsgrund', '498000')
('https://www.boliga.dk/bolig/1728537/stensbjergvej_22_5672_broby', 'https://www.boliga.dk/skoede', 'F', 'Villa', '535000')
('https://www.boliga.dk/bolig/1728720/praestevej_6_7600_struer', 'https://www.boliga.dk/skoede', 'E', 'Villa', '550000')
('https://www.boliga.dk/bolig/1728599/hoejegaardsvej_3_3700_roenne', 'unavailable', 'unrated', 'Helårsgrund', '575000')
('https://www.boliga.dk/bolig/1728701/bavnebjerg_18_8752_oestbirk', 'unavailable', 'unrated', 'Helårsgrund', '580000')
('https://www.boliga.dk/bolig/1728440/fuglebakken_11_8830_tjele', 'https://www.boliga.dk/skoede', 'C', 'Villa', '585000')
('https://www.boliga.dk/bolig/1728740/lervangen_55_1_th_8930_randers_noe', 'https://www.boliga.dk/skoede', 'D', 'Ejerlejlighed', '588000')
('https://www.boliga.dk/bolig/1728438/fasanvej_10_st_tv_8800_viborg', 'https://www.boliga.dk/bbrinfo/70261b1c-7262-4a03-9a04-fc6aaa400042', 'D', 'Andelsbolig', '595000')
('https://www.boliga.dk/bolig/1728533/oerbaekvej_63_5854_gislev', 'https://www.boliga.dk/skoede', 'G', 'Villa', '595000')
